X,Y,Z,formation
460392.96437971294,7626555.080453722,326.01385,Fault_1
454962.3246636307,7629069.199637091,306.08456,Fault_1
451504.873028934,7630902.79079054,316.10776,Fault_1
449081.7957827002,7632949.6216807775,293.14902,Fault_1
447400.4683887195,7634261.09483202,292.90216,Fault_1
445026.7740528872,7635991.460823458,305.79245,Fault_1
443787.76557486877,7637620.095727841,328.1215,Fault_1
442845.50507699046,7638986.317388404,309.82266,Fault_1
441310.52787413076,7640455.712949239,313.15955,Fault_1
438245.317943166,7641919.257715582,306.11447,Fault_1
435378.8530206494,7642908.967340611,312.036,Fault_1
432511.3760895068,7644056.200343629,313.79196,Fault_1
428887.9451767374,7645336.082232833,313.80695,Fault_1
427434.71002903674,7646419.759994471,313.186,Fault_1
427327.3499352094,7646508.170116487,313.186,Fault_1
426017.9000534965,7647726.700021063,302.17938,Fault_1
425855.2000832837,7647892.070061853,302.17938,Fault_1
425617.41011641175,7648204.059925986,302.17938,Fault_1
423988.8021784071,7650548.861592191,279.72418,Fault_1
421810.49920878466,7652173.097755797,269.26093,Fault_1
419730.628072761,7653321.900226493,261.6778,Fault_1
417257.0888907099,7654341.989686626,258.53387,Fault_1
415077.92999985814,7655247.481126056,258.1751,Fault_1
413601.81906062644,7655709.91621719,258.7568,Fault_1
411962.1241264958,7657492.179400849,259.86163,Fault_1
410024.7634787159,7659430.693442672,264.36237,Fault_1
407838.9906754913,7661525.63485675,263.85367,Fault_1
406298.137452852,7663097.222840091,272.63507,Fault_1
404708.4785638312,7664510.368178503,306.0127,Fault_1
402523.8444956746,7666183.251738956,308.1719,Fault_1
401429.1618955489,7667388.310572937,313.09647,Fault_1
399544.2818604121,7668430.494824288,297.81143,Fault_1
397452.1693609692,7669343.947122689,293.74197,Fault_1
397164.75436810125,7669469.408670116,294.12424,Fault_1
395425.0231237281,7670933.461167201,272.0919,Fault_1
393734.4323592335,7672397.658792633,268.85056,Fault_1
392634.9452678114,7674181.596079764,265.06454,Fault_1
391331.8721377123,7676806.972504998,260.07364,Fault_1
389682.1086316081,7679429.964135762,281.8173,Fault_1
388084.8606869029,7681526.390826243,284.8496,Fault_1
386183.1203933917,7684674.155425173,292.19403,Fault_1
384086.72290498205,7687240.925526553,295.6329,Fault_1
381492.4200789388,7690120.005670906,293.14008,Fault_1
378503.4241471663,7692679.793437461,287.80304,Fault_1
375414.8605508143,7695185.6742116185,283.02704,Fault_1
374063.5764456205,7697072.018169039,276.0603,Fault_1
372508.67030393984,7699641.551537538,273.41165,Fault_1
370508.65225075185,7702049.501675827,281.78656,Fault_1
368103.84229725413,7705454.989667019,264.75546,Fault_1
365890.8890457535,7709546.548331301,264.89465,Fault_1
364543.36534227617,7710694.7447455805,264.89465,Fault_1
363290.9616688108,7712317.73675601,276.2778,Fault_1
360976.42081683036,7716460.614106799,267.50592,Fault_1
360425.0333416704,7717465.60261852,267.1177,Fault_1
358962.32869590167,7720131.60689185,268.53854,Fault_1
357734.32363271934,7723202.0,257.88306,Fault_1
436740.31007657107,7537088.369961149,315.36877,Fault_16
448638.73004118726,7532040.319916636,301.9572,Fault_16
458634.24009313807,7528337.220022391,288.9799,Fault_16
473154.0700173909,7522957.969905922,286.0182,Fault_16
484657.51995815244,7518888.9399616,275.99088,Fault_16
491032.89992913697,7516614.879903535,268.05566,Fault_16
491333.1200085748,7516527.739872752,268.95813,Fault_16
493057.5600434309,7516087.420030602,268.98538,Fault_16
493277.3998932922,7516052.85994742,268.98538,Fault_16
493967.9699873682,7515916.689975131,268.98538,Fault_16
325417.8341720775,7663451.715771656,255.31442,Fault_17_0
325372.3019935852,7661675.9597753985,262.39172,Fault_17_0
325129.46360303275,7660082.3326712465,277.7892,Fault_17_0
325174.99580547493,7659399.349678579,277.7892,Fault_17_0
325433.01156126615,7657669.125887087,270.2013,Fault_17_0
325615.1404233789,7656561.175590031,270.2013,Fault_17_0
325994.5754137188,7654937.193634093,273.13165,Fault_17_0
326465.0748647768,7653692.646737628,274.14648,Fault_17_0
326802.42153868265,7652826.920043756,279.82248,Fault_17_0
328592.15906471666,7648087.991555377,272.11166,Fault_17_0
329973.6167737637,7643937.259911874,282.22913,Fault_17_0
330744.1206049947,7641561.5401405655,285.83264,Fault_17_0
331807.14511381555,7637834.245975328,290.93997,Fault_17_0
332031.0105014527,7637007.620243266,297.34238,Fault_17_0
332137.3505141437,7636642.909644408,297.34238,Fault_17_0
332534.8103540726,7635381.9805630315,296.06378,Fault_17_0
332650.43995305244,7635088.5494417725,296.06378,Fault_17_0
332771.7902429253,7634744.350156482,296.06378,Fault_17_0
332968.01031166594,7634111.319802249,293.65054,Fault_17_0
333079.8201760659,7633716.180144992,293.65054,Fault_17_0
333352.5600284282,7632662.150410293,293.99466,Fault_17_0
333539.2996678129,7631973.089921404,293.99466,Fault_17_0
333695.3796670446,7631293.819376526,293.99466,Fault_17_0
333780.79993021954,7630974.61038887,299.66003,Fault_17_0
333872.2702908898,7630579.220241591,299.66003,Fault_17_0
333921.61979208887,7630295.150037668,299.66003,Fault_17_0
333986.50089938194,7629990.940199938,299.66003,Fault_17_0
334095.5803193925,7629407.690353376,308.3055,Fault_17_0
334159.75975455064,7629159.379637997,308.3055,Fault_17_0
334228.76998770796,7628931.469822128,308.3055,Fault_17_0
334431.4098755028,7628191.759851818,308.3055,Fault_17_0
334595.7601224249,7627665.090551579,305.34277,Fault_17_0
334895.14044121,7626921.470316335,305.82034,Fault_17_0
335010.38959877566,7626658.530144613,305.82034,Fault_17_0
335417.84655251354,7625823.944280128,307.791,Fault_17_0
335636.8604489295,7625395.290347404,307.791,Fault_17_0
335995.83074523136,7624769.3000325095,313.13647,Fault_17_0
336230.46034146566,7624319.719452453,313.13647,Fault_17_0
336464.37953563314,7623926.050390911,315.79855,Fault_17_0
336573.7099284567,7623729.129555242,315.79855,Fault_17_0
336667.8505700324,7623526.930526277,315.79855,Fault_17_0
336877.6696659457,7623026.230254068,311.85342,Fault_17_0
336962.2597612478,7622773.090510567,311.85342,Fault_17_0
337045.7578370683,7622574.6999226995,311.85342,Fault_17_0
337130.88529396243,7622347.929753545,311.85342,Fault_17_0
337246.0397500908,7622077.20032674,311.85342,Fault_17_0
337477.29734917544,7621624.919672958,310.09076,Fault_17_0
337532.03339494765,7621423.579931173,310.09076,Fault_17_0
337666.06102110073,7621078.745428142,310.09076,Fault_17_0
337851.3878524909,7620652.869693836,310.09076,Fault_17_0
338186.21175869554,7619841.590469532,299.99747,Fault_17_0
338510.45693726186,7619111.558094285,299.99747,Fault_17_0
338690.2241358701,7618777.112950954,299.99747,Fault_17_0
339121.97801359463,7617915.4993515,303.,Fault_17_0
339491.51283204556,7617282.227535218,300.,Fault_17_0
340122.53055108245,7616253.934504727,305.,Fault_17_0
340492.0707536526,7615620.65722803,305.,Fault_17_0
340820.6594599867,7615037.991184425,312.,Fault_17_0
340959.31027740706,7614784.638002448,312.,Fault_17_0
341201.11976648495,7614257.432682487,313.,Fault_17_0
341314.5182414856,7613968.379664819,312.,Fault_17_0
341417.4882684564,7613730.097606774,312.,Fault_17_0
341561.98825021274,7613329.422507071,312.,Fault_17_0
341640.02668428235,7612989.39023251,312.,Fault_17_0
341924.814733115,7612015.290458392,309.,Fault_17_0
341997.6130112754,7611705.718554897,309.,Fault_17_0
342112.8030068753,7611066.102461793,309.,Fault_17_0
342308.5886847796,7609583.468021919,308.,Fault_17_0
342360.95854338445,7609289.035208648,308.,Fault_17_0
342490.86760796886,7608756.198558564,313.,Fault_17_0
342676.8867602851,7608193.14212077,307.,Fault_17_0
342754.28595089074,7607980.129658732,307.,Fault_17_0
342887.8855992062,7607721.665736302,312.,Fault_17_0
343176.38480249885,7607016.856335443,312.,Fault_17_0
343994.5917307297,7605196.891561299,315.,Fault_17_0
344174.62226427253,7604811.637991374,311.924,Fault_17_0
344328.78192203026,7604512.6237247195,313.9368,Fault_17_0
344513.61157011334,7604183.289714888,313.9368,Fault_17_0
344794.740035872,7603501.937798721,313.9368,Fault_17_0
345079.031582457,7602909.182561493,321.08154,Fault_17_0
345389.27069714386,7601664.547745471,321.08154,Fault_17_0
345840.33944393136,7599811.769748921,317.8907,Fault_17_0
346118.83099476993,7596673.330117951,325.15228,Fault_17_0
346121.19957521,7593315.166494968,327.81992,Fault_17_0
346139.1300927,7593162.53999898,327.81992,Fault_17_0
346336.76013290044,7590887.3299825685,332.1325,Fault_17_0
346364.03976127785,7590638.989951293,332.1325,Fault_17_0
346404.36991855316,7590417.210101008,334.13968,Fault_17_0
346764.9700030908,7588684.589952827,336.9361,Fault_17_0
347470.0701155737,7584609.020012423,354.94736,Fault_17_0
347786.7800309509,7583284.109942412,357.6777,Fault_17_0
348384.27009828296,7581171.970046819,361.2557,Fault_17_0
348843.0598304309,7579776.939968465,384.62476,Fault_17_0
349372.1199669102,7578443.02998955,376.2512,Fault_17_0
349434.1599158533,7578268.760041764,376.2512,Fault_17_0
349760.6699671168,7577134.260001709,360.4094,Fault_17_0
350025.61994576175,7575865.350010631,355.85986,Fault_17_0
350273.55000700615,7574186.210107567,359.67856,Fault_17_0
350363.55614728015,7573511.175958104,359.67856,Fault_17_0
350449.3400323484,7572867.769982449,351.4079,Fault_17_0
350476.98003651574,7572590.540069492,351.4079,Fault_17_0
350580.61576998513,7569636.879181987,357.6122,Fault_17_0
350609.9600663148,7568298.680005157,357.04156,Fault_17_0
350623.1813766137,7567685.801557509,357.04156,Fault_17_0
350635.4300672272,7567118.039920576,357.04156,Fault_17_0
350690.0099114822,7566697.609933492,364.34842,Fault_17_0
350722.98998803087,7566508.519904283,364.34842,Fault_17_0
350959.2399261892,7565524.089906951,367.04706,Fault_17_0
351046.6700128559,7565216.409911026,367.04706,Fault_17_0
351423.19004356023,7564017.189971101,367.04706,Fault_17_0
351516.6300407862,7563775.859968145,364.5934,Fault_17_0
351976.9399074679,7562695.909952119,359.36304,Fault_17_0
352086.70999584533,7562477.449935584,359.36304,Fault_17_0
352448.50003845897,7561812.359945061,357.11053,Fault_17_0
352547.3400126863,7561638.280061383,357.11053,Fault_17_0
